KOI,A,DEC,RSTAR,TSTAR,KMAG,TPLANET,T0,UT0,PER,RA,UPER,RPLANET,MSTAR,ROW
192.01,0.092,43.7049,0.96,5936,14.221,848.0,70.02113,0.00012,10.2909988,19.21697,3.3e-06,9.47,1.09,152
193.01,0.22,48.1953,0.98,5883,14.904,547.0,90.34972,0.00015,37.5902721,19.52508,1.57e-05,13.82,1.08,153
194.01,0.043,48.3451,0.96,5883,14.804,1224.0,72.46539,0.00013,3.12083,18.86441,1.1e-06,13.96,1.05,154
195.01,0.041,49.4734,0.89,5604,14.835,1150.0,66.63102,7e-05,3.2175204,19.29564,7e-07,11.21,1.05,155
196.01,0.029,45.9816,0.94,5585,14.465,1403.0,70.18026,4e-05,1.8555577,19.63422,3e-07,9.89,1.04,156
197.01,0.121,38.1844,0.79,4907,14.018,552.0,66.83859,0.00016,17.2762904,19.38888,7.3e-06,7.79,0.94,157
199.01,0.046,46.956,1.13,6214,14.879,1357.0,70.48097,8e-05,3.2686948,19.66838,8e-07,11.33,1.09,158
200.01,0.075,41.3555,0.95,5774,14.412,906.0,67.34453,0.00012,7.3407239,19.5395,2.4e-06,8.88,1.03,159
201.01,0.052,42.3502,1.17,5541,14.014,1157.0,70.55993,9e-05,4.2253846,19.14204,1.1e-06,9.95,1.04,160
202.01,0.029,43.681,1.05,5912,14.309,1566.0,66.0204,4e-05,1.7208604,19.07402,3e-07,11.4,1.09,161
203.01,0.026,47.815,1.05,5787,14.141,1621.0,65.79273,3e-05,1.4857113,19.89302,2e-07,14.81,1.05,162
204.01,0.04,45.7621,0.89,5287,14.678,1102.0,66.37835,0.00017,3.246732,20.00682,1.6e-06,7.29,0.99,163
205.01,0.092,42.5379,0.75,5060,14.518,636.0,75.17341,0.00014,11.7201189,19.69978,4.3e-06,7.46,0.93,164
206.01,0.059,40.9773,1.11,5771,14.463,1104.0,64.98071,0.00025,5.3340867,19.83958,3.7e-06,7.82,1.09,165
208.01,0.044,38.8816,1.14,6094,14.996,1368.0,67.71041,0.00043,3.0038752,19.68717,3.8e-06,12.73,1.08,166
209.01,0.282,48.0402,1.08,6221,14.274,536.0,68.63035,0.00054,50.7905633,19.25287,7.04e-05,8.29,1.11,167
209.02,0.145,48.0402,1.08,6221,14.274,748.0,78.82085,0.00078,18.795909,19.25287,4.03e-05,5.44,1.11,168
211.01,1.056,47.9721,1.13,6072,14.989,277.0,69.01397,0.00091,372.1083574,19.19802,0.0013391,9.9,1.11,169
212.01,0.062,41.6032,0.89,5843,14.858,977.0,72.23086,0.00033,5.6959013,19.74265,6.2e-06,6.16,1.07,170
214.01,0.042,48.5775,0.93,5322,14.256,1102.0,64.74207,0.00014,3.3118628,19.90833,1.6e-06,7.13,1.01,171
216.01,0.138,41.4248,0.93,5086,14.711,582.0,74.20873,0.00052,20.1720109,19.94754,2.73e-05,7.15,0.86,172
216.02,0.072,41.4248,0.93,5086,14.711,806.0,65.52332,0.00538,7.5186581,19.94754,0.0001101,1.49,0.86,173
217.01,0.049,46.2859,0.9,5504,15.127,1038.0,66.41425,6e-05,3.9050817,19.6577,7e-07,12.89,0.98,174
219.01,0.072,41.664,0.67,5347,14.153,717.0,65.46865,0.00037,8.0251044,19.81427,8e-06,4.09,0.95,175
220.01,0.034,42.6589,0.79,5388,14.236,1148.0,65.93989,0.00022,2.4220796,19.72976,1.7e-06,3.54,0.92,176
220.02,0.048,42.6589,0.79,5388,14.236,966.0,66.64769,0.00541,4.1250199,19.72976,6.56e-05,0.85,0.92,177
221.01,0.04,39.0981,0.68,5176,14.622,939.0,65.44211,0.00021,3.4130377,19.06205,2.2e-06,4.15,0.92,178
222.01,0.055,39.3391,0.53,4353,14.735,598.0,65.6549,0.001,6.3125038,19.19278,1.72e-05,2.03,0.64,179
222.02,0.088,39.3391,0.53,4353,14.735,473.0,63.76506,0.0025,12.7945945,19.19278,8.09e-05,1.66,0.64,180
223.01,0.038,39.678,0.67,5128,14.708,950.0,67.47679,0.0006,3.1774266,19.07747,6.2e-06,2.52,0.92,181
223.02,0.21,39.678,0.67,5128,14.708,404.0,80.034,0.00309,41.0081181,19.07747,0.0003955,2.27,0.92,182
225.01,0.017,41.0747,0.87,6037,14.784,1906.0,74.53708,0.00012,0.8385977,19.66089,8e-07,40.65,1.08,183
226.01,0.072,41.241,0.62,5043,14.817,652.0,71.11416,0.00175,8.3084852,19.44273,4.12e-05,1.97,0.84,184
227.01,0.118,41.5192,0.63,4633,14.267,473.0,69.57258,0.00089,17.6601135,18.9568,4.13e-05,2.93,0.57,185
229.01,0.046,38.928,1.1,5608,14.72,1211.0,67.93299,0.00031,3.57321,19.38439,3.3e-06,5.89,1.07,186
232.01,0.105,39.9491,0.9,5868,14.247,756.0,67.00372,0.00063,12.4659542,19.40746,2.11e-05,4.31,0.99,187
232.02,0.063,39.9491,0.9,5868,14.247,976.0,67.01619,0.00241,5.7661756,19.40746,3.97e-05,1.73,0.99,188
232.03,0.152,39.9491,0.9,5868,14.247,628.0,75.98044,0.00549,21.5872318,19.40746,0.0003314,1.69,0.99,189
232.04,0.221,39.9491,0.9,5868,14.247,521.0,95.99396,0.00647,37.9969319,19.40746,0.0007187,1.79,0.99,190
232.05,0.287,39.9491,0.9,5868,14.247,457.0,97.2308,0.00854,56.255403,19.40746,0.0013962,1.69,0.99,191
234.01,0.089,44.5188,1.14,5735,14.283,903.0,65.18647,0.00147,9.6137159,19.35721,3.79e-05,3.15,1.09,192
235.01,0.059,43.9152,0.77,5041,14.353,803.0,66.81413,0.00118,5.6325655,19.674,1.89e-05,2.08,0.9,193
237.01,0.083,43.8521,0.94,5679,14.176,843.0,67.78504,0.00145,8.5083547,19.73009,3.33e-05,2.52,1.05,194
238.01,0.132,42.782,1.01,6032,14.061,735.0,68.09166,0.00247,17.2322921,19.79991,0.0001125,2.4,1.03,195
238.02,0.177,42.782,1.01,6032,14.061,635.0,77.01488,0.00996,26.6937608,19.79991,0.0007255,1.35,1.03,196
239.01,0.063,41.7302,0.93,5983,14.762,1012.0,71.55718,0.00086,5.6406608,19.81344,1.37e-05,3.6,1.08,197
240.01,0.053,43.8602,0.97,5996,14.982,1133.0,71.61452,0.00094,4.2868587,19.40534,1.16e-05,3.99,1.07,198
241.01,0.1,49.0649,0.6,5055,14.139,546.0,64.79314,0.0017,13.8213913,19.11685,6.84e-05,1.66,0.85,199
242.01,0.072,38.7077,0.93,5437,14.747,860.0,71.34349,0.00046,7.2584656,19.37577,9.1e-06,5.48,1.02,200
244.01,0.113,39.4879,1.66,6103,10.734,1033.0,111.52741,0.00019,12.720365,19.10923,7e-06,6.51,1.1,201
244.02,0.07,39.4879,1.66,6103,10.734,1313.0,104.70459,0.0004,6.2385593,19.10923,7.5e-06,3.39,1.1,202
245.01,0.208,44.5182,0.73,5288,9.71,436.0,108.24973,0.00044,39.7921956,18.9373,5.17e-05,2.0,0.75,203
245.02,0.137,44.5182,0.73,5288,9.71,538.0,124.8385,0.00213,21.3018475,18.9373,0.0001332,0.75,0.75,204
245.03,0.1,44.5182,0.73,5288,9.71,629.0,117.03332,0.0082,13.367265,18.9373,0.000311,0.34,0.75,205
245.04,0.246,44.5182,0.73,5288,9.71,401.0,128.72685,0.00957,51.1987998,18.9373,0.0013713,0.43,0.75,206
246.01,0.062,49.0403,1.24,5793,10.0,1143.0,106.85714,0.00043,5.3987665,19.40215,7.1e-06,2.53,1.07,207
247.01,0.092,50.1468,0.52,3804,14.216,397.0,114.12476,0.00156,13.8150581,18.99991,7.15e-05,1.95,0.48,208
248.01,0.06,40.5918,0.53,3974,15.264,521.0,103.28753,0.00104,7.2037944,19.48631,2.21e-05,2.72,0.55,209
248.02,0.079,40.5918,0.53,3974,15.264,454.0,102.84919,0.00216,10.9129347,19.48631,6.87e-05,2.55,0.55,210
248.03,0.03,40.5918,0.53,3974,15.264,736.0,105.12838,0.00123,2.5765549,19.48631,1.15e-05,1.85,0.55,211
248.04,0.113,40.5918,0.53,3974,15.264,379.0,74.26167,0.00431,18.5962176,19.48631,0.0002075,1.99,0.55,212
249.01,0.072,45.9724,0.52,3654,14.486,433.0,108.75675,0.00061,9.5492728,18.99479,1.7e-05,2.04,0.51,213
250.01,0.09,46.5665,0.58,4486,15.473,501.0,103.39654,0.00086,12.2830776,18.99607,2.98e-05,3.08,0.63,214
250.02,0.112,46.5665,0.58,4486,15.473,449.0,82.88908,0.00146,17.251048,18.99607,6.79e-05,2.94,0.63,215
250.03,0.039,46.5665,0.58,4486,15.473,761.0,69.26295,0.00297,3.543867,18.99607,3.23e-05,1.13,0.63,216
250.04,0.218,46.5665,0.58,4486,15.473,322.0,69.7429,0.00344,46.8278667,18.99607,0.0003902,2.97,0.63,217
251.01,0.042,47.6049,0.53,3846,14.752,602.0,104.08713,0.00044,4.1643875,19.88388,6.4e-06,2.65,0.55,218
251.02,0.052,47.6049,0.53,3846,14.752,541.0,65.96041,0.00575,5.7744691,19.88388,0.0001031,0.84,0.55,219
252.01,0.113,48.8226,0.65,3905,15.613,414.0,103.50119,0.00153,17.6044369,19.3601,7.81e-05,3.15,0.49,220
253.01,0.056,49.9623,0.54,3951,15.254,541.0,103.60256,0.00099,6.3831833,19.03829,2.09e-05,2.41,0.52,221
254.01,0.03,41.0643,0.55,3948,15.979,745.0,103.82101,4e-05,2.4552405,19.52486,4e-07,10.18,0.53,222
255.01,0.15,42.5426,0.55,3989,15.108,338.0,122.82552,0.00115,27.5217414,19.19054,9.43e-05,2.78,0.58,223
256.01,0.02,49.5654,0.52,3639,15.373,821.0,102.774,0.00024,1.3786789,19.01234,1.8e-06,25.34,0.65,224
257.01,0.075,40.7198,1.16,6145,10.868,1068.0,105.66132,0.00058,6.8834027,18.97568,1.19e-05,2.61,1.18,225
258.01,0.054,48.9613,1.51,6278,9.89,1466.0,105.50104,0.00111,4.1574033,18.96946,1.46e-05,5.18,1.18,226
260.01,0.097,44.2085,1.26,6164,10.5,980.0,105.79034,0.00247,10.4956776,19.28982,7.48e-05,1.55,1.09,227
260.02,0.438,44.2085,1.26,6164,10.5,461.0,178.04149,0.00234,100.2831869,19.28982,0.0008531,2.64,1.09,228
261.01,0.125,40.5251,1.02,5692,10.297,716.0,104.01895,0.00039,16.2384791,19.80464,1.88e-05,2.7,1.2,229
262.01,0.082,50.0337,1.88,6058,10.421,1278.0,105.63186,0.00225,7.8125122,19.20672,5.21e-05,2.2,1.22,230
262.02,0.093,50.0337,1.88,6058,10.421,1200.0,69.96857,0.00224,9.3761366,19.20672,5.55e-05,2.79,1.22,231
263.01,0.148,47.7744,1.41,5820,10.821,792.0,117.73336,0.00305,20.719359,18.75159,0.0001912,2.02,1.07,232
265.01,0.048,50.409,1.18,6040,11.994,1320.0,102.74684,0.00254,3.5680647,19.80126,2.96e-05,1.29,1.11,233
268.01,0.411,38.507,0.75,4808,10.56,286.0,108.92814,0.00206,110.3790809,19.04859,0.0008374,1.64,0.73,234
269.01,0.145,43.3784,1.26,6364,10.927,826.0,118.09939,0.00403,18.0113364,19.15638,0.0002165,1.47,1.2,235
270.01,0.104,41.9008,1.46,5552,11.411,919.0,108.01522,0.00388,12.5825038,19.58219,0.000144,1.8,0.88,236
270.02,0.201,41.9008,1.46,5552,11.411,661.0,95.03958,0.00523,33.6731224,19.58219,0.0004866,2.13,0.88,237
271.01,0.282,46.028,1.27,6169,11.485,578.0,105.54591,0.00279,48.6306978,19.01267,0.0004065,2.6,1.1,238
271.02,0.202,46.028,1.27,6169,11.485,683.0,142.07331,0.00202,29.392336,19.01267,0.000178,2.48,1.1,239
273.01,0.098,38.2288,1.07,5783,11.457,844.0,108.06601,0.00085,10.5737688,19.16523,2.57e-05,1.82,0.97,240
274.01,0.127,43.9802,1.55,6090,11.39,940.0,108.92761,0.00792,15.0920524,18.83282,0.0003506,1.12,1.2,241
274.02,0.167,43.9802,1.55,6090,11.39,820.0,86.49185,0.01026,22.7951882,18.83282,0.0006329,1.13,1.2,242
275.01,0.13,47.8486,1.36,5795,11.696,827.0,109.8205,0.00278,15.7918577,19.02075,0.0001377,1.95,1.18,243
275.02,0.392,47.8486,1.36,5795,11.696,476.0,141.78737,0.00808,82.1996737,19.02075,0.0019766,2.04,1.18,244
276.01,0.239,48.7062,1.11,5949,11.854,566.0,143.39963,0.00138,41.7459122,19.31096,0.0001804,2.49,1.11,245
277.01,0.129,49.2318,1.61,5973,11.866,930.0,104.68947,0.00114,16.231204,19.41668,5.39e-05,3.82,0.97,246
279.01,0.183,51.0135,1.19,6152,11.684,693.0,109.70366,0.00064,28.4551126,19.6991,5.34e-05,4.57,1.14,247
279.02,0.122,51.0135,1.19,6152,11.684,849.0,69.94436,0.00325,15.4129829,19.6991,0.0001244,2.06,1.14,248
280.01,0.101,39.2119,1.17,5975,11.072,899.0,113.89468,0.00064,11.8729142,19.11263,2.28e-05,2.52,1.18,249
281.01,0.132,39.2443,1.88,5699,11.947,949.0,122.04222,0.00196,19.5566341,19.177,0.0001077,3.46,1.23,250
282.01,0.176,40.2453,1.11,5873,11.529,651.0,115.10327,0.00108,27.5087333,19.23004,8.64e-05,3.36,0.99,251
282.02,0.08,40.2453,1.11,5873,11.529,966.0,72.06648,0.00423,8.4574886,19.23004,9.67e-05,1.18,0.99,252
283.01,0.126,40.9423,1.03,5687,11.525,719.0,103.59865,0.00068,16.0919238,19.23539,3.16e-05,2.24,1.19,253
284.01,0.134,41.343,1.03,5925,11.818,725.0,112.4253,0.00283,18.0099901,18.88239,0.0001487,1.49,1.16,254
284.02,0.067,41.343,1.03,5925,11.818,1025.0,102.64199,0.00241,6.4148328,18.88239,4.67e-05,1.14,1.16,255
284.03,0.066,41.343,1.03,5925,11.818,1033.0,101.86016,0.00264,6.1781786,18.88239,4.83e-05,1.09,1.16,256
285.01,0.118,41.563,1.53,5883,11.565,934.0,112.28031,0.00178,13.7487606,19.2724,7.17e-05,3.38,0.95,257
288.01,0.104,46.2267,1.95,6088,11.02,1163.0,110.27076,0.00186,10.275394,19.5811,5.79e-05,3.11,1.01,258
289.01,0.175,47.5749,1.01,5812,12.747,617.0,124.99793,0.00223,26.6291758,18.86304,0.0001784,2.63,0.94,259
291.01,0.197,48.3203,1.34,5600,12.848,644.0,118.15206,0.00328,31.5178938,19.81853,0.0003357,2.73,1.01,260
291.02,0.08,48.3203,1.34,5600,12.848,1011.0,67.10524,0.00372,8.1298576,19.81853,8.65e-05,2.14,1.01,261
292.01,0.036,48.6734,0.98,5780,12.872,1329.0,104.8425,0.00095,2.5866272,19.15511,9.4e-06,1.64,1.11,262
294.01,0.202,48.9167,0.96,5861,12.674,563.0,126.03843,0.00252,34.4357576,19.8846,0.0002832,2.2,1.08,263
295.01,0.061,49.5984,1.06,5936,12.324,1094.0,104.87662,0.00117,5.3174114,18.9826,2.05e-05,1.77,1.01,264
296.01,0.182,50.0754,1.01,5811,12.935,604.0,111.4844,0.00283,28.8623081,19.00278,0.000254,2.23,1.09,265
297.01,0.064,50.2424,1.28,6050,12.182,1194.0,105.27586,0.00226,5.6518383,19.08315,4.33e-05,1.65,1.13,266
298.01,0.139,52.0555,0.91,5445,12.713,615.0,111.30689,0.00309,19.9636393,19.36628,0.0001732,1.4,0.84,267
299.01,0.026,37.9645,1.11,5538,12.899,1597.0,103.542,0.00062,1.5416821,19.04411,4.2e-06,2.07,1.19,268
301.01,0.069,38.7955,1.22,6131,12.73,1139.0,104.7147,0.00194,6.0025224,19.36634,3.48e-05,1.75,1.13,269
302.01,0.189,38.7357,1.71,6711,12.059,890.0,106.99731,0.00144,24.8547981,19.70725,0.0001016,5.17,1.24,270
303.01,0.294,41.2954,1.03,5598,12.193,462.0,106.36567,0.00196,60.9291962,19.57835,0.0003914,3.12,1.03,271
304.01,0.086,41.3739,1.77,5885,12.549,1178.0,107.9087,0.00058,8.5120497,19.13933,1.48e-05,4.89,1.16,272
304.02,0.064,41.3739,1.77,5885,12.549,1365.0,69.5633,0.00801,5.5183535,19.13933,0.0001288,1.11,1.16,273
305.01,0.05,41.3001,0.73,4782,12.97,807.0,104.8397,0.0008,4.6035711,19.8236,1.15e-05,1.57,0.92,274
306.01,0.161,41.3846,0.87,5407,12.63,555.0,111.36278,0.00127,24.3079828,19.95464,8.95e-05,2.28,1.07,275
307.01,0.149,41.6178,1.09,6141,12.797,731.0,109.26939,0.00287,19.6742277,19.54536,0.0001676,1.8,1.14,276
307.02,0.061,41.6178,1.09,6141,12.797,1143.0,64.53674,0.00361,5.2110576,19.54536,5.35e-05,1.15,1.14,277
308.01,0.227,41.6029,1.21,6323,12.351,643.0,120.52383,0.00142,35.5974292,19.59531,0.000149,3.15,1.17,278
312.01,0.107,42.5988,1.21,6158,12.459,914.0,108.58568,0.00195,11.57894,19.76449,6.58e-05,1.91,1.2,279
312.02,0.134,42.5988,1.21,6158,12.459,817.0,64.96831,0.00266,16.3992207,19.76449,0.0001169,1.84,1.2,280
313.01,0.134,43.0391,0.86,5348,12.99,597.0,110.63559,0.00154,18.735721,18.80904,8.26e-05,2.2,1.01,281
313.02,0.079,43.0391,0.86,5348,12.99,778.0,112.88612,0.0017,8.4364042,18.80904,4.37e-05,1.61,1.01,282
314.01,0.092,43.293,0.53,3900,12.925,411.0,110.85215,0.00062,13.7810523,19.35877,2.52e-05,1.66,0.55,283
314.02,0.13,43.293,0.53,3900,12.925,346.0,104.00471,0.00097,23.0894471,19.35877,6.37e-05,1.77,0.55,284
314.03,0.076,43.293,0.53,3900,12.925,453.0,66.55217,0.00356,10.3120171,19.35877,0.0001068,0.68,0.55,285
315.01,0.188,43.3333,0.65,4789,12.968,392.0,121.98861,0.00112,35.5894364,19.81813,0.0001189,2.14,0.99,286
316.01,0.126,43.8894,1.18,5622,12.701,758.0,117.90767,0.00678,15.7709438,18.82613,0.0003139,2.72,1.08,287
316.02,0.586,43.8894,1.18,5622,12.701,351.0,414.263,0.01231,157.0603653,18.82613,0.0100221,2.94,1.08,288
317.01,0.169,43.998,1.81,6464,12.885,934.0,139.36285,0.00182,22.2079176,19.92109,0.0001298,4.24,1.24,289
318.01,0.247,44.0688,1.38,6285,12.211,655.0,107.83935,0.00139,38.5833586,19.21027,0.0001512,5.18,1.17,290
319.01,0.269,44.8729,1.47,5952,12.711,613.0,109.6235,0.00082,46.1515861,19.34117,0.0001133,7.44,0.96,291
321.01,0.035,44.9682,1.11,5538,12.52,1375.0,103.45484,0.00096,2.4263076,19.45654,8.3e-06,1.59,0.96,292
323.01,0.063,45.5069,0.89,5527,12.465,915.0,102.87492,0.00094,5.8359731,18.93741,1.65e-05,2.17,1.06,293
327.01,0.046,46.7682,1.17,6206,12.996,1378.0,105.66168,0.00228,3.2542815,19.15797,2.5e-05,1.48,1.11,294
330.01,0.077,49.1621,1.24,5749,13.928,1018.0,107.5299,0.00288,7.9740591,19.79061,6.79e-05,2.26,1.11,295
331.01,0.139,47.3588,1.5,5536,13.497,803.0,103.82872,0.0032,18.6842093,19.74556,0.0001977,3.54,0.91,296
332.01,0.063,47.3963,1.21,5719,13.046,1103.0,105.08752,0.00177,5.4585137,19.8434,3.23e-05,1.92,0.99,297
333.01,0.114,47.4063,1.06,6310,13.39,849.0,102.86018,0.00237,13.2853878,19.39719,8.93e-05,2.27,1.13,298
335.01,0.274,47.6753,1.62,6380,13.893,685.0,129.30958,0.00168,46.5667778,19.45457,0.0002325,4.88,1.2,299
337.01,0.143,47.7481,0.89,5778,13.936,637.0,110.72205,0.0032,19.7830249,19.71232,0.0002095,1.86,1.06,300
338.01,0.072,47.7317,19.16,4104,13.448,2953.0,107.5747,0.00202,7.0106169,19.86473,4.55e-05,37.36,1.0,301
338.02,0.042,47.7317,19.16,4104,13.448,3866.0,65.63972,0.00607,3.1075281,19.86473,6.34e-05,17.51,1.0,302
339.01,0.03,47.8804,0.87,6013,13.763,1431.0,103.13816,0.00104,1.9803611,19.05922,8.6e-06,1.55,1.05,303
339.02,0.105,47.8804,0.87,6013,13.763,765.0,71.33208,0.00332,12.8340605,19.05922,0.0001276,1.66,1.05,304
340.01,0.169,47.8014,1.12,5811,13.057,660.0,93.62716,0.0002,23.6731883,19.84431,1.39e-05,16.77,1.23,305
341.01,0.114,48.2444,0.93,5536,13.338,699.0,109.66583,0.0018,14.341234,19.8641,8.31e-05,2.98,1.05,306
341.02,0.054,48.2444,0.93,5536,13.338,1015.0,110.61531,0.00322,4.6996126,19.8641,5.25e-05,1.58,1.05,307
343.01,0.055,48.4813,1.14,5744,13.203,1156.0,103.33557,0.00081,4.7616972,19.67459,1.19e-05,2.68,0.99,308
343.02,0.031,48.4813,1.14,5744,13.203,1540.0,103.49657,0.00091,2.0241346,19.67459,7.1e-06,1.86,0.99,309
343.03,0.235,48.4813,1.14,5744,13.203,559.0,81.69845,0.00812,41.8092522,19.67459,0.0009689,1.58,0.99,310
344.01,0.214,48.549,0.99,5715,13.4,543.0,104.33549,0.00124,39.3092414,18.88935,0.0001467,3.34,1.08,311
345.01,0.171,48.6836,0.71,4869,13.34,437.0,106.18906,0.00099,29.8857096,19.10165,9.71e-05,2.72,1.05,312
